reservation_id,guest_name,room_number,event_time,sim_time,staff_id,action,staff_flagged_anomalous,in_attack_window,Enriched_TTP,Threat_Context
R1000,Allison Hill,157,2026-08-01 11:38:25,41905,U0002,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1001,Noah Rhodes,214,2026-08-01 04:27:29,16049,U0009,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1002,Angie Henderson,379,2026-08-01 12:19:08,44348,U0006,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1003,Daniel Wagner,115,2026-08-01 00:34:42,2082,U0006,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1004,Cristian Santos,358,2026-08-01 04:14:07,15247,U0039,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1005,Connie Lawrence,201,2026-08-01 10:13:01,36781,U0046,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1006,Abigail Shaffer,329,2026-08-01 04:00:46,14446,U0038,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1007,Gina Moore,181,2026-08-01 00:07:05,425,U0045,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1008,Gabrielle Davis,242,2026-08-01 06:11:38,22298,U0010,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1009,Ryan Munoz,152,2026-08-01 06:07:39,22059,U0006,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1010,Monica Herrera,283,2026-08-01 01:45:38,6338,U0055,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1011,Jamie Arnold,235,2026-08-01 10:59:25,39565,U0052,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1012,Lisa Hensley,335,2026-08-01 13:17:03,47823,U0035,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1013,Michele Williams,140,2026-08-01 06:53:27,24807,U0036,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1014,Dylan Miller,416,2026-08-01 11:26:38,41198,U0057,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1015,Brian Ramirez,198,2026-08-01 10:30:37,37837,U0046,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1016,Holly Wood,438,2026-08-01 00:50:03,3003,U0015,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1017,Derek Zuniga,219,2026-08-01 01:27:09,5229,U0056,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1018,Lisa Jackson,242,2026-08-01 06:55:11,24911,U0030,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1019,Carla Gray,289,2026-08-01 02:57:39,10659,U0023,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1020,Margaret Hawkins DDS,236,2026-08-01 12:12:00,43920,U0045,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1021,Patty Perez,425,2026-08-01 11:05:20,39920,U0011,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1022,Ethan Adams,336,2026-08-01 02:58:28,10708,U0025,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1023,Tommy Walter,385,2026-08-01 11:39:03,41943,U0015,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1024,Matthew Foster,217,2026-08-01 01:01:05,3665,U0053,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1025,Judy Baker,305,2026-08-01 05:44:33,20673,U0018,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1026,Justin Baker,390,2026-08-01 03:50:26,13826,U0057,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1027,Stephanie Ross,435,2026-08-01 03:52:14,13934,U0032,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1028,Zachary Hicks,334,2026-08-01 11:42:09,42129,U0010,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1029,Anthony Rodriguez,226,2026-08-01 02:32:30,9150,U0048,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1030,Rebecca Henderson,399,2026-08-01 13:35:56,48956,U0028,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1031,James Ferrell,212,2026-08-01 06:35:23,23723,U0009,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1032,Tricia Valencia,124,2026-08-01 01:39:17,5957,U0056,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1033,Nathan Maldonado,421,2026-08-01 02:46:56,10016,U0011,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1034,Debra Davidson,132,2026-08-01 10:51:26,39086,U0025,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1035,Jeffrey Chavez,339,2026-08-01 10:50:52,39052,U0034,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1036,Sherri Baker,105,2026-08-01 10:04:16,36256,U0044,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1037,Cassandra Gaines,374,2026-08-01 12:24:36,44676,U0049,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1038,Elizabeth Fowler,274,2026-08-01 11:40:06,42006,U0008,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1039,Brittany Farmer,180,2026-08-01 07:54:52,28492,U0030,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1040,Paula Moreno,234,2026-08-01 13:08:43,47323,U0033,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1041,Fred Smith,154,2026-08-01 09:14:31,33271,U0056,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1042,Sherry Decker,359,2026-08-01 11:37:54,41874,U0039,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1043,Anthony Humphrey,291,2026-08-01 02:46:56,10016,U0049,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1044,Angelica Tucker,371,2026-08-01 09:49:08,35348,U0059,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1045,Philip Cannon,265,2026-08-01 10:54:12,39252,U0032,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1046,John Pierce,285,2026-08-01 02:02:11,7331,U0057,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1047,Shane Henderson,129,2026-08-01 04:21:32,15692,U0016,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1048,Joshua Blair,348,2026-08-01 01:33:33,5613,U0053,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1049,Eric Carney,372,2026-08-01 13:50:46,49846,U0050,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1050,Jessica Holmes,437,2026-08-01 02:20:14,8414,U0031,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1051,Danny Morgan,370,2026-08-01 04:49:30,17370,U0056,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1052,Crystal Robinson,376,2026-08-01 03:51:20,13880,U0049,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1053,Mark Perez,259,2026-08-01 12:58:43,46723,U0026,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1054,Shannon Jones,364,2026-08-01 07:58:31,28711,U0029,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1055,Michael Lewis,215,2026-08-01 04:30:46,16246,U0005,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1056,Timothy Duncan,401,2026-08-01 00:22:58,1378,U0036,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1057,Richard Aguirre,212,2026-08-01 10:42:44,38564,U0001,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1058,Brent Jordan,423,2026-08-01 12:53:09,46389,U0004,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1059,John Daniel,116,2026-08-01 01:13:37,4417,U0056,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1060,Victoria Garcia,363,2026-08-01 01:17:23,4643,U0016,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1061,Gerald Hensley,348,2026-08-01 12:10:42,43842,U0014,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1062,Connor West,392,2026-08-01 13:10:05,47405,U0037,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1063,Donald Wright,342,2026-08-01 04:25:25,15925,U0052,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1064,Jessica Callahan,148,2026-08-01 03:27:58,12478,U0007,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1065,Amber Kidd,316,2026-08-01 06:26:59,23219,U0027,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1066,Tracy House,127,2026-08-01 13:16:20,47780,U0044,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1067,Carol Tucker,306,2026-08-01 01:06:12,3972,U0047,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1068,James Brown,227,2026-08-01 01:59:21,7161,U0013,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1069,William Baker,329,2026-08-01 09:45:46,35146,U0009,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1070,Jordan Henderson,242,2026-08-01 03:20:25,12025,U0030,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1071,Whitney Peters,326,2026-08-01 01:22:20,4940,U0052,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1072,Brittney Phillips,433,2026-08-01 00:55:15,3315,U0035,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1073,Lauren Daniels,221,2026-08-01 01:41:52,6112,U0011,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
