reservation_id,guest_name,room_number,event_time,sim_time,staff_id,action,staff_flagged_anomalous,in_attack_window
R1000,Allison Hill,275,2026-08-01 04:28:00,16080,U0023,checkin,False,False
R1001,Noah Rhodes,314,2026-08-01 09:08:31,32911,U0017,checkin,False,False
R1002,Angie Henderson,151,2026-08-01 03:17:06,11826,U0027,folio_update,False,False
R1003,Daniel Wagner,271,2026-08-01 10:08:46,36526,U0040,checkout,False,False
R1004,Cristian Santos,354,2026-08-01 13:34:22,48862,U0032,key_reissue,False,False
R1005,Connie Lawrence,325,2026-08-01 00:50:43,3043,U0032,folio_update,False,False
R1006,Abigail Shaffer,184,2026-08-01 05:42:19,20539,U0047,checkout,False,False
R1007,Gina Moore,341,2026-08-01 13:32:15,48735,U0019,folio_update,True,False
R1008,Gabrielle Davis,301,2026-08-01 00:58:38,3518,U0015,folio_update,False,False
R1009,Ryan Munoz,226,2026-08-01 10:57:30,39450,U0052,key_reissue,False,False
R1010,Monica Herrera,314,2026-08-01 02:55:13,10513,U0021,folio_update,False,False
R1011,Jamie Arnold,285,2026-08-01 12:05:32,43532,U0037,checkin,False,False
R1012,Lisa Hensley,332,2026-08-01 13:22:05,48125,U0044,checkout,False,False
R1013,Michele Williams,214,2026-08-01 12:15:58,44158,U0034,checkin,False,False
R1014,Dylan Miller,231,2026-08-01 12:30:25,45025,U0004,folio_update,False,False
R1015,Brian Ramirez,148,2026-08-01 07:35:39,27339,U0006,folio_update,False,False
R1016,Holly Wood,245,2026-08-01 03:39:49,13189,U0013,folio_update,False,False
R1017,Derek Zuniga,305,2026-08-01 11:54:05,42845,U0021,key_reissue,False,False
R1018,Lisa Jackson,442,2026-08-01 05:58:45,21525,U0056,key_reissue,False,False
R1019,Carla Gray,103,2026-08-01 08:43:02,31382,U0043,checkin,False,False
R1020,Margaret Hawkins DDS,375,2026-08-01 03:26:24,12384,U0010,folio_update,False,False
R1021,Patty Perez,337,2026-08-01 06:51:12,24672,U0048,checkin,False,False
R1022,Ethan Adams,336,2026-08-01 12:05:21,43521,U0041,checkout,False,False
R1023,Tommy Walter,442,2026-08-01 11:22:33,40953,U0028,checkin,True,False
R1024,Matthew Foster,234,2026-08-01 08:06:49,29209,U0029,folio_update,False,False
R1025,Judy Baker,441,2026-08-01 08:31:07,30667,U0030,folio_update,False,False
R1026,Justin Baker,443,2026-08-01 11:49:57,42597,U0043,checkin,False,False
R1027,Stephanie Ross,340,2026-08-01 09:26:44,34004,U0009,folio_update,False,False
R1028,Zachary Hicks,325,2026-08-01 05:36:44,20204,U0010,key_reissue,False,False
R1029,Anthony Rodriguez,309,2026-08-01 03:10:55,11455,U0047,checkout,False,False
R1030,Rebecca Henderson,120,2026-08-01 11:44:00,42240,U0051,folio_update,False,False
R1031,James Ferrell,179,2026-08-01 02:38:09,9489,U0038,checkout,False,False
R1032,Tricia Valencia,284,2026-08-01 11:17:55,40675,U0050,checkin,False,False
R1033,Nathan Maldonado,282,2026-08-01 07:50:55,28255,U0029,folio_update,False,False
R1034,Debra Davidson,186,2026-08-01 08:25:44,30344,U0052,folio_update,False,False
R1035,Jeffrey Chavez,319,2026-08-01 04:39:03,16743,U0046,checkin,False,False
R1036,Sherri Baker,101,2026-08-01 10:15:22,36922,U0055,checkin,False,False
R1037,Cassandra Gaines,188,2026-08-01 03:26:10,12370,U0058,checkin,False,False
R1038,Elizabeth Fowler,362,2026-08-01 08:23:19,30199,U0034,folio_update,False,True
R1039,Brittany Farmer,149,2026-08-01 08:45:30,31530,U0045,checkout,True,False
R1040,Paula Moreno,178,2026-08-01 02:30:13,9013,U0031,checkin,False,False
R1041,Fred Smith,425,2026-08-01 10:13:30,36810,U0017,checkin,False,False
R1042,Sherry Decker,333,2026-08-01 10:55:33,39333,U0042,folio_update,False,False
R1043,Anthony Humphrey,329,2026-08-01 11:17:05,40625,U0033,checkout,False,False
R1044,Angelica Tucker,246,2026-08-01 06:07:18,22038,U0031,checkout,False,False
R1045,Philip Cannon,362,2026-08-01 05:56:34,21394,U0042,checkin,False,False
R1046,John Pierce,260,2026-08-01 10:43:44,38624,U0024,checkout,False,False
R1047,Shane Henderson,393,2026-08-01 11:30:58,41458,U0004,checkin,False,False
R1048,Joshua Blair,411,2026-08-01 05:00:55,18055,U0035,key_reissue,False,False
R1049,Eric Carney,184,2026-08-01 01:35:42,5742,U0024,folio_update,False,False
R1050,Jessica Holmes,414,2026-08-01 00:58:23,3503,U0048,checkout,False,False
R1051,Danny Morgan,298,2026-08-01 10:40:56,38456,U0021,key_reissue,False,False
R1052,Crystal Robinson,150,2026-08-01 02:16:15,8175,U0036,key_reissue,False,False
R1053,Mark Perez,423,2026-08-01 09:21:59,33719,U0059,folio_update,False,False
R1054,Shannon Jones,299,2026-08-01 11:30:14,41414,U0052,key_reissue,False,False
R1055,Michael Lewis,409,2026-08-01 11:30:27,41427,U0049,key_reissue,True,False
R1056,Timothy Duncan,138,2026-08-01 06:02:48,21768,U0034,key_reissue,False,False
R1057,Richard Aguirre,332,2026-08-01 00:56:04,3364,U0041,checkin,False,False
R1058,Brent Jordan,264,2026-08-01 12:00:09,43209,U0033,key_reissue,False,False
R1059,John Daniel,426,2026-08-01 12:39:13,45553,U0033,checkout,False,False
R1060,Victoria Garcia,388,2026-08-01 09:43:11,34991,U0059,folio_update,False,False
R1061,Gerald Hensley,185,2026-08-01 03:23:16,12196,U0032,checkin,False,False
R1062,Connor West,219,2026-08-01 01:38:48,5928,U0043,checkout,False,False
R1063,Donald Wright,334,2026-08-01 08:13:45,29625,U0015,key_reissue,False,False
R1064,Jessica Callahan,116,2026-08-01 04:48:23,17303,U0002,checkout,False,False
R1065,Amber Kidd,126,2026-08-01 07:30:41,27041,U0039,checkin,False,False
R1066,Tracy House,403,2026-08-01 03:16:11,11771,U0050,key_reissue,False,False
R1067,Carol Tucker,416,2026-08-01 09:48:59,35339,U0054,folio_update,False,False
R1068,James Brown,229,2026-08-01 07:48:39,28119,U0009,folio_update,False,False
R1069,William Baker,131,2026-08-01 10:16:38,36998,U0032,checkin,False,False
R1070,Jordan Henderson,199,2026-08-01 13:36:15,48975,U0027,checkin,False,False
R1071,Whitney Peters,426,2026-08-01 04:14:51,15291,U0041,key_reissue,False,False
R1072,Brittney Phillips,352,2026-08-01 04:44:01,17041,U0033,folio_update,False,False
R1073,Lauren Daniels,276,2026-08-01 08:05:36,29136,U0015,key_reissue,False,False
R1074,Amy Silva,260,2026-08-01 05:08:07,18487,U0041,checkin,False,False
R1075,Sarah Moore,244,2026-08-01 10:22:11,37331,U0038,folio_update,False,False
